c_proveedor,c_articulo,c_sucu_empr,q_bultos_kilos_diarco,f_alta_sist,c_usuario_genero_oc,c_terminal_genero_oc,f_genero_oc,c_usuario_bloqueo,m_procesado,f_procesado,u_prefijo_oc,u_sufijo_oc,c_compra_kikker,c_usuario_modif,c_comprador,m_publicado,abastecimiento,cod_cd
11740,70401,69,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70630,38,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70400,60,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70511,19,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70505,19,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70505,10,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72519,78,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70401,38,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70631,48,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70511,75,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70631,67,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,72520,3,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
